Threads,Time,Program
1,0.968981,PrefixSum
2,0.485153,PrefixSum
4,0.479992,PrefixSum
8,0.504525,PrefixSum
16,0.519788,PrefixSum
1,0.479495,MatrixMatrix
2,0.207839,MatrixMatrix
4,0.095733,MatrixMatrix
8,0.050160,MatrixMatrix
16,0.038538,MatrixMatrix
1,0.174033,MatrixScalar
2,0.106016,MatrixScalar
4,0.099203,MatrixScalar
8,0.103936,MatrixScalar
16,0.103978,MatrixScalar
1,0.297854,MatrixVector
2,0.150678,MatrixVector
4,0.077841,MatrixVector
8,0.044316,MatrixVector
16,0.042015,MatrixVector
